fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,alcohol_density,non-free sulfur dioxide,total_acidity,acidity_ratio,alcohol_pH_ratio,alcohol_sulfur_dioxide_ratio
6.8,0.2,0.38,4.7,0.04,27.0,103.0,0.994,3.37,0.58,10.7,6,white,10.6358,76.0,7.0,0.9714285714285714,3.175074183976261,0.10388349514563106
5.7,0.44,0.13,7.0,0.025,28.0,173.0,0.9913,3.33,0.48,12.5,6,white,12.39125,145.0,6.140000000000001,0.9283387622149837,3.7537537537537538,0.07225433526011561
7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976,3.08,0.49,8.6,4,white,8.57936,119.0,7.6000000000000005,0.9473684210526315,2.792207792207792,0.0455026455026455
6.8,0.23,0.32,1.6,0.026,43.0,147.0,0.9904,3.29,0.54,12.5,6,white,12.379999999999999,104.0,7.03,0.9672830725462304,3.7993920972644375,0.08503401360544217
5.7,0.335,0.34,1.0,0.04,13.0,174.0,0.992,3.27,0.66,10.0,5,white,9.92,161.0,6.035,0.9444904722452361,3.058103975535168,0.05747126436781609
7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976,3.08,0.49,8.6,4,white,8.57936,119.0,7.6000000000000005,0.9473684210526315,2.792207792207792,0.0455026455026455
7.2,0.28,0.54,16.7,0.045,54.0,200.0,0.999,3.08,0.49,9.5,6,white,9.4905,146.0,7.48,0.9625668449197861,3.0844155844155843,0.0475
6.8,0.19,0.58,14.2,0.038,51.0,164.0,0.9975,3.12,0.48,9.6,6,white,9.576,113.0,6.99,0.9728183118741058,3.0769230769230766,0.058536585365853655
6.4,0.3,0.3,2.25,0.038,8.0,210.0,0.9937,3.2,0.62,9.9,6,white,9.83763,202.0,6.7,0.9552238805970149,3.09375,0.047142857142857146
6.5,0.3,0.29,2.25,0.037,8.0,210.0,0.9937,3.19,0.62,9.9,5,white,9.83763,202.0,6.8,0.9558823529411765,3.103448275862069,0.047142857142857146
7.8,0.18,0.31,12.2,0.053,46.0,140.0,0.998,3.06,0.53,8.9,6,white,8.882200000000001,94.0,7.9799999999999995,0.9774436090225564,2.9084967320261437,0.06357142857142857
7.8,0.18,0.31,12.2,0.053,46.0,140.0,0.998,3.06,0.53,8.9,6,white,8.882200000000001,94.0,7.9799999999999995,0.9774436090225564,2.9084967320261437,0.06357142857142857
7.3,0.51,0.26,3.3,0.09,7.0,135.0,0.9944,3.01,0.52,8.8,5,white,8.75072,128.0,7.81,0.9346991037131882,2.92358803986711,0.0651851851851852
6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,7,white,9.938,130.0,6.24,0.9615384615384615,2.7472527472527473,0.058823529411764705
5.9,0.62,0.28,3.5,0.039,55.0,152.0,0.9907,3.44,0.44,12.0,6,white,11.8884,97.0,6.5200000000000005,0.9049079754601227,3.488372093023256,0.07894736842105263
6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,7,white,9.938,130.0,6.24,0.9615384615384615,2.7472527472527473,0.058823529411764705
6.7,0.27,0.12,1.3,0.041,62.0,138.0,0.9921,3.21,0.42,10.0,6,white,9.921,76.0,6.970000000000001,0.9612625538020085,3.115264797507788,0.07246376811594203
7.8,0.34,0.35,1.8,0.042,8.0,167.0,0.9908,3.11,0.41,12.1,6,white,11.98868,159.0,8.14,0.9582309582309582,3.8906752411575565,0.07245508982035928
7.3,0.26,0.36,5.2,0.04,31.0,141.0,0.9931,3.16,0.59,11.0,6,white,10.9241,110.0,7.56,0.9656084656084656,3.481012658227848,0.07801418439716312
7.4,0.36,0.33,1.4,0.025,27.0,55.0,0.9915,3.21,0.33,11.2,6,white,11.1048,28.0,7.760000000000001,0.9536082474226804,3.4890965732087227,0.20363636363636362
7.8,0.28,0.32,9.0,0.036,34.0,115.0,0.9952,3.17,0.39,10.3,7,white,10.25056,81.0,8.08,0.9653465346534653,3.249211356466877,0.08956521739130435
6.1,0.31,0.26,2.2,0.051,28.0,167.0,0.9926,3.37,0.47,10.4,6,white,10.32304,139.0,6.409999999999999,0.951638065522621,3.086053412462908,0.06227544910179641
6.8,0.18,0.37,1.6,0.055,47.0,154.0,0.9934,3.08,0.45,9.1,5,white,9.03994,107.0,6.9799999999999995,0.9742120343839542,2.954545454545454,0.05909090909090909
7.4,0.15,0.42,1.7,0.045,49.0,154.0,0.992,3.0,0.6,10.4,6,white,10.3168,105.0,7.550000000000001,0.9801324503311258,3.466666666666667,0.06753246753246754
5.9,0.13,0.28,1.9,0.05,20.0,78.0,0.9918,3.43,0.64,10.8,6,white,10.711440000000001,58.0,6.03,0.978441127694859,3.1486880466472305,0.13846153846153847
7.2,0.34,0.34,12.6,0.048,7.0,41.0,0.9942,3.19,0.4,11.7,5,white,11.63214,34.0,7.54,0.9549071618037136,3.6677115987460813,0.28536585365853656
7.9,0.19,0.26,2.1,0.039,8.0,143.0,0.9942,3.05,0.74,9.8,5,white,9.74316,135.0,8.09,0.9765142150803462,3.213114754098361,0.06853146853146853
7.9,0.19,0.26,2.1,0.039,8.0,143.0,0.9942,3.05,0.74,9.8,5,white,9.74316,135.0,8.09,0.9765142150803462,3.213114754098361,0.06853146853146853
6.9,0.25,0.4,1.3,0.038,22.0,101.0,0.9901,3.03,0.39,11.4,6,white,11.28714,79.0,7.15,0.965034965034965,3.7623762376237626,0.11287128712871287
5.8,0.36,0.32,1.7,0.033,22.0,96.0,0.9898,3.03,0.38,11.2,6,white,11.085759999999999,74.0,6.16,0.9415584415584415,3.6963696369636962,0.11666666666666665
5.6,0.35,0.37,1.0,0.038,6.0,72.0,0.9902,3.37,0.34,11.4,5,white,11.28828,66.0,5.949999999999999,0.9411764705882354,3.3827893175074184,0.15833333333333333
5.9,0.32,0.39,3.3,0.114,24.0,140.0,0.9934,3.09,0.45,9.2,6,white,9.13928,116.0,6.220000000000001,0.9485530546623794,2.977346278317152,0.06571428571428571
7.2,0.31,0.46,5.0,0.04,3.0,29.0,0.9906,3.04,0.53,12.5,4,white,12.3825,26.0,7.51,0.9587217043941412,4.1118421052631575,0.43103448275862066
6.1,0.28,0.22,1.8,0.034,32.0,116.0,0.9898,3.36,0.44,12.6,6,white,12.47148,84.0,6.38,0.9561128526645768,3.75,0.10862068965517241
5.2,0.36,0.02,1.6,0.031,24.0,104.0,0.9896,3.44,0.35,12.2,6,white,12.07312,80.0,5.5600000000000005,0.935251798561151,3.5465116279069764,0.11730769230769231
5.6,0.19,0.47,4.5,0.03,19.0,112.0,0.9922,3.56,0.45,11.2,6,white,11.112639999999999,93.0,5.79,0.9671848013816925,3.1460674157303368,0.09999999999999999
6.4,0.1,0.35,4.9,0.048,31.0,103.0,0.9947,3.43,0.79,9.7,6,white,9.64859,72.0,6.5,0.9846153846153847,2.8279883381924193,0.09417475728155339
6.4,0.18,0.48,4.0,0.186,64.0,150.0,0.9945,3.06,0.4,9.3,5,white,9.248850000000001,86.0,6.58,0.9726443768996961,3.03921568627451,0.062000000000000006
7.4,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6,white,8.9784,125.0,7.65,0.9673202614379085,2.990033222591362,0.05056179775280899
7.4,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6,white,8.9784,125.0,7.65,0.9673202614379085,2.990033222591362,0.05056179775280899
7.4,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6,white,8.9784,125.0,7.65,0.9673202614379085,2.990033222591362,0.05056179775280899
7.9,0.345,0.51,15.3,0.047,54.0,171.0,0.9987,3.09,0.51,9.1,5,white,9.08817,117.0,8.245000000000001,0.9581564584596725,2.9449838187702264,0.05321637426900585
7.9,0.345,0.51,15.3,0.047,54.0,171.0,0.9987,3.09,0.51,9.1,5,white,9.08817,117.0,8.245000000000001,0.9581564584596725,2.9449838187702264,0.05321637426900585
7.4,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6,white,8.9784,125.0,7.65,0.9673202614379085,2.990033222591362,0.05056179775280899
6.1,0.24,0.3,1.5,0.045,22.0,61.0,0.992,3.31,0.54,10.4,5,white,10.3168,39.0,6.34,0.9621451104100947,3.1419939577039275,0.17049180327868854
6.8,0.25,0.24,4.55,0.053,41.0,211.0,0.9955,3.37,0.67,9.5,6,white,9.45725,170.0,7.05,0.9645390070921985,2.8189910979228485,0.045023696682464455
6.7,0.31,0.31,9.9,0.04,10.0,175.0,0.9953,3.46,0.55,11.4,4,white,11.34642,165.0,7.01,0.9557774607703281,3.294797687861272,0.06514285714285714
7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,5,white,8.67912,116.0,7.66,0.9399477806788512,2.753164556962025,0.0453125
5.5,0.35,0.35,1.1,0.045,14.0,167.0,0.992,3.34,0.68,9.9,6,white,9.8208,153.0,5.85,0.9401709401709403,2.9640718562874255,0.05928143712574851
6.7,0.24,0.41,8.7,0.036,29.0,148.0,0.9952,3.22,0.62,9.9,6,white,9.85248,119.0,6.94,0.9654178674351584,3.0745341614906834,0.06689189189189189
6.8,0.28,0.17,13.9,0.047,49.0,162.0,0.9983,3.21,0.51,9.0,6,white,8.9847,113.0,7.08,0.9604519774011299,2.803738317757009,0.05555555555555555
6.4,0.16,0.22,1.4,0.04,41.0,149.0,0.9933,3.49,0.58,10.0,6,white,9.933,108.0,6.5600000000000005,0.975609756097561,2.8653295128939824,0.06711409395973154
6.3,0.26,0.24,7.2,0.039,38.0,172.0,0.9958,3.49,0.64,9.7,6,white,9.65926,134.0,6.56,0.9603658536585367,2.779369627507163,0.0563953488372093
7.7,0.22,0.42,1.9,0.052,10.0,87.0,0.9922,3.3,0.49,11.8,6,white,11.70796,77.0,7.92,0.9722222222222222,3.575757575757576,0.135632183908046
6.5,0.18,0.31,1.7,0.044,30.0,127.0,0.9928,3.49,0.5,10.2,7,white,10.12656,97.0,6.68,0.9730538922155689,2.922636103151862,0.08031496062992126
7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,5,white,8.67912,116.0,7.66,0.9399477806788512,2.753164556962025,0.0453125
7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6,7,white,9.57696,128.0,7.3,0.9589041095890412,3.1270358306188926,0.05714285714285714
9.2,0.25,0.34,1.2,0.026,31.0,93.0,0.9916,2.93,0.37,11.3,7,white,11.20508,62.0,9.45,0.9735449735449735,3.856655290102389,0.12150537634408604
7.8,0.28,0.34,1.6,0.028,32.0,118.0,0.9901,3.0,0.38,12.1,7,white,11.98021,86.0,8.08,0.9653465346534653,4.033333333333333,0.10254237288135593
7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6,7,white,9.57696,128.0,7.3,0.9589041095890412,3.1270358306188926,0.05714285714285714
7.8,0.28,0.34,1.6,0.028,32.0,118.0,0.9901,3.0,0.38,12.1,7,white,11.98021,86.0,8.08,0.9653465346534653,4.033333333333333,0.10254237288135593
9.2,0.25,0.34,1.2,0.026,31.0,93.0,0.9916,2.93,0.37,11.3,7,white,11.20508,62.0,9.45,0.9735449735449735,3.856655290102389,0.12150537634408604
8.4,0.35,0.71,12.2,0.046,22.0,160.0,0.9982,2.98,0.65,9.4,5,white,9.38308,138.0,8.75,0.9600000000000001,3.1543624161073827,0.058750000000000004
6.1,0.41,0.24,1.6,0.049,16.0,137.0,0.993,3.32,0.5,10.4,6,white,10.3272,121.0,6.51,0.9370199692780338,3.132530120481928,0.07591240875912408
5.9,0.21,0.24,12.1,0.044,53.0,165.0,0.9969,3.25,0.39,9.5,5,white,9.47055,112.0,6.11,0.9656301145662848,2.923076923076923,0.05757575757575758
7.2,0.34,0.44,4.2,0.047,51.0,144.0,0.991,3.01,0.76,12.3,6,white,12.189300000000001,93.0,7.54,0.9549071618037136,4.086378737541529,0.08541666666666667
6.7,0.21,0.42,9.1,0.049,31.0,150.0,0.9953,3.12,0.74,9.9,7,white,9.85347,119.0,6.91,0.9696092619392185,3.173076923076923,0.066
5.9,0.37,0.1,1.6,0.057,39.0,128.0,0.9924,3.24,0.48,10.1,5,white,10.02324,89.0,6.2700000000000005,0.9409888357256778,3.1172839506172836,0.07890625
7.7,0.34,0.27,8.8,0.063,39.0,184.0,0.9969,3.09,0.63,9.2,6,white,9.171479999999999,145.0,8.040000000000001,0.9577114427860696,2.977346278317152,0.049999999999999996
7.4,0.3,0.22,1.4,0.046,16.0,135.0,0.9928,3.08,0.77,10.4,7,white,10.32512,119.0,7.7,0.961038961038961,3.376623376623377,0.07703703703703704
6.8,0.51,0.3,4.2,0.066,38.0,165.0,0.9945,3.2,0.42,9.1,5,white,9.04995,127.0,7.31,0.9302325581395349,2.8437499999999996,0.05515151515151515
7.8,0.22,0.38,10.3,0.059,28.0,99.0,0.9967,3.12,0.47,10.0,6,white,9.967,71.0,8.02,0.972568578553616,3.205128205128205,0.10101010101010101
7.2,0.35,0.34,12.4,0.051,6.0,37.0,0.9944,3.13,0.39,11.5,6,white,11.435599999999999,31.0,7.55,0.9536423841059604,3.6741214057507987,0.3108108108108108
6.0,0.26,0.5,2.2,0.048,59.0,153.0,0.9928,3.08,0.61,9.8,5,white,9.72944,94.0,6.26,0.9584664536741214,3.181818181818182,0.06405228758169935
6.1,0.26,0.51,2.2,0.05,61.0,154.0,0.9929,3.08,0.6,9.8,6,white,9.73042,93.0,6.359999999999999,0.9591194968553459,3.181818181818182,0.06363636363636364
6.5,0.28,0.27,5.2,0.04,44.0,179.0,0.9948,3.19,0.69,9.4,6,white,9.35112,135.0,6.78,0.9587020648967551,2.9467084639498435,0.05251396648044693
7.4,0.41,0.66,10.8,0.051,77.0,194.0,0.9976,3.05,0.46,8.7,5,white,8.67912,117.0,7.8100000000000005,0.9475032010243277,2.8524590163934427,0.04484536082474226
6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.6,7,white,11.497919999999999,81.0,6.78,0.9587020648967551,3.4939759036144578,0.10841121495327102
6.7,0.34,0.54,16.3,0.047,44.0,181.0,0.9987,3.04,0.56,8.8,5,white,8.78856,137.0,7.04,0.9517045454545455,2.8947368421052633,0.04861878453038675
7.2,0.2,0.34,2.7,0.032,49.0,151.0,0.99,3.16,0.39,12.7,7,white,12.572999999999999,102.0,7.4,0.9729729729729729,4.018987341772151,0.08410596026490066
7.4,0.2,0.33,1.9,0.035,39.0,138.0,0.991,3.17,0.44,11.7,7,white,11.5947,99.0,7.6000000000000005,0.9736842105263158,3.6908517350157726,0.08478260869565217
8.2,0.22,0.3,1.8,0.047,47.0,185.0,0.9933,3.13,0.5,10.2,6,white,10.131659999999998,138.0,8.42,0.9738717339667458,3.2587859424920125,0.055135135135135134
8.2,0.23,0.29,1.8,0.047,47.0,187.0,0.9933,3.13,0.5,10.2,6,white,10.131659999999998,140.0,8.43,0.9727164887307236,3.2587859424920125,0.05454545454545454
7.1,0.22,0.33,2.8,0.033,48.0,153.0,0.9899,3.15,0.38,12.7,7,white,12.571729999999999,105.0,7.319999999999999,0.9699453551912569,4.031746031746032,0.08300653594771241
6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.6,7,white,11.497919999999999,81.0,6.78,0.9587020648967551,3.4939759036144578,0.10841121495327102
6.0,0.38,0.26,6.0,0.034,42.0,134.0,0.9912,3.38,0.38,12.3,7,white,12.19176,92.0,6.38,0.9404388714733543,3.63905325443787,0.09179104477611941
7.4,0.41,0.66,10.8,0.051,77.0,194.0,0.9976,3.05,0.46,8.7,5,white,8.67912,117.0,7.8100000000000005,0.9475032010243277,2.8524590163934427,0.04484536082474226
5.7,0.18,0.22,4.2,0.042,25.0,111.0,0.994,3.35,0.39,9.4,5,white,9.3436,86.0,5.88,0.9693877551020409,2.8059701492537314,0.0846846846846847
7.3,0.3,0.22,6.4,0.056,44.0,168.0,0.9947,3.13,0.35,10.1,6,white,10.04647,124.0,7.6,0.9605263157894737,3.2268370607028753,0.060119047619047614
7.4,0.24,0.22,10.7,0.042,26.0,81.0,0.9954,2.86,0.36,9.7,6,white,9.65538,55.0,7.640000000000001,0.9685863874345549,3.3916083916083917,0.11975308641975307
6.6,0.25,0.3,1.6,0.046,32.0,134.0,0.993,3.42,0.51,10.1,7,white,10.0293,102.0,6.85,0.9635036496350365,2.953216374269006,0.07537313432835821
7.4,0.24,0.22,10.7,0.042,26.0,81.0,0.9954,2.86,0.36,9.7,6,white,9.65538,55.0,7.640000000000001,0.9685863874345549,3.3916083916083917,0.11975308641975307
7.4,0.26,0.3,7.9,0.049,38.0,157.0,0.9963,3.13,0.48,8.9,6,white,8.86707,119.0,7.66,0.9660574412532638,2.843450479233227,0.056687898089171976
6.1,0.32,0.25,1.7,0.034,37.0,136.0,0.992,3.47,0.5,10.8,7,white,10.713600000000001,99.0,6.42,0.9501557632398754,3.112391930835735,0.07941176470588236
6.9,0.28,0.27,2.1,0.036,42.0,121.0,0.9926,3.42,0.49,10.8,7,white,10.720080000000001,79.0,7.180000000000001,0.9610027855153203,3.1578947368421058,0.08925619834710745
7.0,0.23,0.33,5.8,0.04,25.0,136.0,0.995,3.19,0.58,9.5,6,white,9.4525,111.0,7.23,0.9681881051175656,2.9780564263322886,0.06985294117647059
7.1,0.31,0.5,14.5,0.059,6.0,148.0,0.9983,2.94,0.44,9.1,5,white,9.084529999999999,142.0,7.409999999999999,0.9581646423751687,3.0952380952380953,0.06148648648648648
7.3,0.2,0.37,1.2,0.037,48.0,119.0,0.992,3.32,0.49,10.9,6,white,10.812800000000001,71.0,7.5,0.9733333333333333,3.2831325301204823,0.09159663865546219
6.9,0.41,0.33,10.1,0.043,28.0,152.0,0.9968,3.2,0.52,9.4,5,white,9.36992,124.0,7.3100000000000005,0.9439124487004104,2.9375,0.0618421052631579
6.4,0.45,0.07,1.1,0.03,10.0,131.0,0.9905,2.97,0.28,10.8,5,white,10.697400000000002,121.0,6.8500000000000005,0.9343065693430657,3.6363636363636362,0.08244274809160305
6.4,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5,white,10.69632,122.0,6.875,0.9309090909090909,3.6363636363636362,0.08244274809160305
6.3,0.27,0.38,0.9,0.051,7.0,140.0,0.9926,3.45,0.5,10.5,7,white,10.4223,133.0,6.57,0.958904109589041,3.043478260869565,0.075
6.9,0.41,0.33,10.1,0.043,28.0,152.0,0.9968,3.2,0.52,9.4,5,white,9.36992,124.0,7.3100000000000005,0.9439124487004104,2.9375,0.0618421052631579
7.0,0.29,0.37,4.9,0.034,26.0,127.0,0.9928,3.17,0.44,10.8,6,white,10.722240000000001,101.0,7.29,0.9602194787379973,3.406940063091483,0.08503937007874016
5.9,0.27,0.29,11.4,0.036,31.0,115.0,0.9949,3.35,0.48,10.5,8,white,10.44645,84.0,6.17,0.9562398703403566,3.134328358208955,0.09130434782608696
6.9,0.19,0.4,1.4,0.036,14.0,55.0,0.9909,3.08,0.68,11.5,7,white,11.39535,41.0,7.090000000000001,0.9732016925246826,3.7337662337662336,0.20909090909090908
6.7,0.3,0.35,1.4,0.18,36.0,160.0,0.9937,3.11,0.54,9.4,6,white,9.34078,124.0,7.0,0.9571428571428572,3.0225080385852094,0.058750000000000004
7.2,0.24,0.4,1.4,0.045,31.0,106.0,0.9914,2.88,0.38,10.8,6,white,10.70712,75.0,7.44,0.9677419354838709,3.7500000000000004,0.1018867924528302
6.4,0.45,0.07,1.1,0.03,10.0,131.0,0.9905,2.97,0.28,10.8,5,white,10.697400000000002,121.0,6.8500000000000005,0.9343065693430657,3.6363636363636362,0.08244274809160305
6.4,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5,white,10.69632,122.0,6.875,0.9309090909090909,3.6363636363636362,0.08244274809160305
6.3,0.26,0.49,1.5,0.052,34.0,134.0,0.9924,2.99,0.61,9.8,6,white,9.72552,100.0,6.56,0.9603658536585367,3.277591973244147,0.07313432835820896
6.3,0.26,0.49,1.5,0.052,34.0,134.0,0.9924,2.99,0.61,9.8,6,white,9.72552,100.0,6.56,0.9603658536585367,3.277591973244147,0.07313432835820896
7.3,0.25,0.29,7.5,0.049,38.0,158.0,0.9965,3.43,0.38,9.6,5,white,9.5664,120.0,7.55,0.9668874172185431,2.7988338192419824,0.060759493670886074
7.3,0.25,0.29,7.5,0.049,38.0,158.0,0.9965,3.43,0.38,9.6,5,white,9.5664,120.0,7.55,0.9668874172185431,2.7988338192419824,0.060759493670886074
6.1,0.28,0.25,17.75,0.044,48.0,161.0,0.9993,3.34,0.48,9.5,5,white,9.49335,113.0,6.38,0.9561128526645768,2.8443113772455093,0.059006211180124224
7.4,0.37,0.35,5.7,0.061,12.0,94.0,0.9965,3.48,0.69,10.7,6,white,10.66255,82.0,7.7700000000000005,0.9523809523809523,3.074712643678161,0.11382978723404255
6.5,0.36,0.28,3.2,0.037,29.0,119.0,0.9908,3.25,0.65,12.4,8,white,12.28592,90.0,6.86,0.9475218658892128,3.8153846153846156,0.10420168067226891
7.4,0.24,0.4,4.3,0.032,9.0,95.0,0.992,3.09,0.39,11.1,6,white,11.011199999999999,86.0,7.640000000000001,0.9685863874345549,3.592233009708738,0.11684210526315789
7.5,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,2.99,0.38,8.8,5,white,8.78064,96.0,7.73,0.9702457956015523,2.94314381270903,0.0661654135338346
7.5,0.21,0.68,10.9,0.045,38.0,133.0,0.9978,3.0,0.36,8.7,5,white,8.68086,95.0,7.71,0.9727626459143969,2.9,0.06541353383458647
7.5,0.21,0.68,10.9,0.045,38.0,133.0,0.9978,3.0,0.36,8.7,5,white,8.68086,95.0,7.71,0.9727626459143969,2.9,0.06541353383458647
7.5,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,2.99,0.38,8.8,5,white,8.78064,96.0,7.73,0.9702457956015523,2.94314381270903,0.0661654135338346
7.8,0.32,0.33,2.4,0.037,18.0,101.0,0.9912,3.21,0.65,11.7,7,white,11.59704,83.0,8.12,0.9605911330049262,3.644859813084112,0.11584158415841583
7.8,0.26,0.27,1.9,0.051,52.0,195.0,0.9928,3.23,0.5,10.9,6,white,10.821520000000001,143.0,8.06,0.9677419354838709,3.3746130030959756,0.0558974358974359
7.7,0.24,0.27,1.8,0.051,52.0,190.0,0.9928,3.23,0.5,10.8,6,white,10.722240000000001,138.0,7.94,0.9697732997481108,3.3436532507739942,0.056842105263157895
7.4,0.19,0.3,1.4,0.057,33.0,135.0,0.993,3.12,0.5,9.6,6,white,9.5328,102.0,7.590000000000001,0.9749670619235836,3.0769230769230766,0.07111111111111111
6.5,0.46,0.41,16.8,0.084,59.0,222.0,0.9993,3.18,0.58,9.0,5,white,8.9937,163.0,6.96,0.9339080459770115,2.830188679245283,0.04054054054054054
6.5,0.26,0.43,8.9,0.083,50.0,171.0,0.9965,2.85,0.5,9.0,5,white,8.9685,121.0,6.76,0.9615384615384616,3.1578947368421053,0.05263157894736842
5.3,0.32,0.12,6.6,0.043,22.0,141.0,0.9937,3.36,0.6,10.4,6,white,10.334480000000001,119.0,5.62,0.9430604982206405,3.0952380952380953,0.07375886524822696
7.2,0.24,0.34,1.1,0.045,3.0,64.0,0.9913,3.23,0.51,11.4,5,white,11.30082,61.0,7.44,0.9677419354838709,3.5294117647058827,0.178125
6.0,0.36,0.06,1.4,0.066,27.0,128.0,0.9934,3.26,0.55,9.3,5,white,9.238620000000001,101.0,6.36,0.9433962264150942,2.8527607361963194,0.07265625
6.2,0.24,0.29,13.3,0.039,49.0,130.0,0.9952,3.33,0.46,11.0,8,white,10.9472,81.0,6.44,0.9627329192546583,3.303303303303303,0.08461538461538462
7.6,0.56,0.12,10.4,0.096,22.0,177.0,0.9983,3.32,0.45,9.1,4,white,9.084529999999999,155.0,8.16,0.9313725490196078,2.7409638554216866,0.05141242937853107
7.0,0.32,0.24,6.2,0.048,31.0,228.0,0.9957,3.23,0.62,9.4,6,white,9.359580000000001,197.0,7.32,0.9562841530054644,2.910216718266254,0.0412280701754386
7.0,0.32,0.24,6.2,0.048,31.0,228.0,0.9957,3.23,0.62,9.4,6,white,9.359580000000001,197.0,7.32,0.9562841530054644,2.910216718266254,0.0412280701754386
5.8,0.31,0.33,1.2,0.036,23.0,99.0,0.9916,3.18,0.6,10.5,6,white,10.4118,76.0,6.109999999999999,0.9492635024549919,3.30188679245283,0.10606060606060606
7.0,0.23,0.42,18.05,0.05,35.0,144.0,0.9999,3.22,0.42,8.8,5,white,8.79912,109.0,7.23,0.9681881051175656,2.7329192546583854,0.061111111111111116
7.0,0.23,0.42,18.05,0.05,35.0,144.0,0.9999,3.22,0.42,8.8,5,white,8.79912,109.0,7.23,0.9681881051175656,2.7329192546583854,0.061111111111111116
6.9,0.24,0.33,4.8,0.04,16.0,131.0,0.9936,3.26,0.64,10.7,6,white,10.63152,115.0,7.140000000000001,0.9663865546218487,3.2822085889570554,0.0816793893129771
6.0,0.29,0.2,12.6,0.045,45.0,187.0,0.9972,3.33,0.42,9.5,5,white,9.4734,142.0,6.29,0.9538950715421304,2.8528528528528527,0.05080213903743316
6.1,0.17,0.28,4.5,0.033,46.0,150.0,0.9933,3.43,0.49,10.9,6,white,10.82697,104.0,6.27,0.9728867623604466,3.1778425655976674,0.07266666666666667
5.9,0.14,0.25,4.5,0.027,34.0,140.0,0.9934,3.49,0.51,10.8,6,white,10.728720000000001,106.0,6.04,0.9768211920529802,3.0945558739255015,0.07714285714285715
6.2,0.17,0.28,4.7,0.037,39.0,133.0,0.9931,3.41,0.46,10.8,7,white,10.725480000000001,94.0,6.37,0.9733124018838305,3.1671554252199416,0.081203007518797
7.4,0.28,0.25,11.9,0.053,25.0,148.0,0.9976,3.1,0.62,9.2,5,white,9.17792,123.0,7.680000000000001,0.9635416666666666,2.9677419354838706,0.06216216216216216
5.6,0.35,0.14,5.0,0.046,48.0,198.0,0.9937,3.3,0.71,10.3,5,white,10.23511,150.0,5.949999999999999,0.9411764705882354,3.1212121212121215,0.05202020202020202
5.8,0.335,0.14,5.8,0.046,49.0,197.0,0.9937,3.3,0.71,10.3,5,white,10.23511,148.0,6.135,0.9453952730236349,3.1212121212121215,0.05228426395939087
5.6,0.235,0.29,1.2,0.047,33.0,127.0,0.991,3.34,0.5,11.0,7,white,10.901,94.0,5.835,0.9597257926306769,3.2934131736526946,0.08661417322834646
6.1,0.28,0.25,12.9,0.054,34.0,189.0,0.9979,3.25,0.43,9.0,4,white,8.9811,155.0,6.38,0.9561128526645768,2.769230769230769,0.047619047619047616
6.3,0.21,0.33,13.9,0.046,68.0,179.0,0.9971,3.36,0.5,10.4,6,white,10.36984,111.0,6.51,0.967741935483871,3.0952380952380953,0.05810055865921788
6.4,0.24,0.28,11.5,0.05,34.0,163.0,0.9969,3.31,0.45,9.5,5,white,9.47055,129.0,6.640000000000001,0.963855421686747,2.8700906344410875,0.05828220858895705
6.4,0.24,0.29,11.4,0.051,32.0,166.0,0.9968,3.31,0.45,9.5,5,white,9.4696,134.0,6.640000000000001,0.963855421686747,2.8700906344410875,0.0572289156626506
6.3,0.26,0.25,7.8,0.058,44.0,166.0,0.9961,3.24,0.41,9.0,5,white,8.9649,122.0,6.56,0.9603658536585367,2.7777777777777777,0.05421686746987952
6.5,0.33,0.72,1.1,0.061,7.0,151.0,0.993,3.09,0.57,9.5,4,white,9.4335,144.0,6.83,0.9516837481698389,3.074433656957929,0.06291390728476821
7.4,0.105,0.34,12.2,0.05,57.0,146.0,0.9973,3.16,0.37,9.0,6,white,8.9757,89.0,7.505000000000001,0.9860093271152565,2.848101265822785,0.06164383561643835
